Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;ISIDRO AYORA                  ; ISIDRO AYORA;5.585;5.285;10.870
;; Total;5.585;5.285;10.870
;LOMAS DE SARGENTILLO          ; LOMAS DE SARGENTILLO;9.466;8.947;18.413
;; Total;9.466;8.947;18.413
;MILAGRO                       ; CHOBO;2.772;2.649;5.421
;; MARISCAL SUCRE (HUAQUES);2.827;2.538;5.365
;; MILAGRO;72.031;72.994;145.025
;; ROBERTO ASTUDILLO;5.611;5.212;10.823
;; Total;83.241;83.393;166.634
;NARANJAL                      ; JESUS MARIA;3.486;2.941;6.427
;; NARANJAL;20.721;19.118;39.839
;; SAN CARLOS;3.530;2.986;6.516
;; SANTA ROSA DE FLANDES;2.917;2.527;5.444
;; TAURA;5.971;4.815;10.786
;; Total;36.625;32.387;69.012
;NARANJITO                     ; NARANJITO;19.063;18.123;37.186
;; Total;19.063;18.123;37.186
;NOBOL                         ; NARCISA DE JESUS;9.856;9.744;19.600
;; Total;9.856;9.744;19.600
;PALESTINA                     ; PALESTINA;8.354;7.711;16.065
;; Total;8.354;7.711;16.065
;PEDRO CARBO                   ; PEDRO CARBO;16.216;15.101;31.317
;; SABANILLA;3.635;3.254;6.889
;; VALLE DE LA VIRGEN;2.757;2.473;5.230
;; Total;22.608;20.828;43.436
;PLAYAS                        ; GENERAL VILLAMIL;21.242;20.693;41.935
;; Total;21.242;20.693;41.935
;SAMBORONDON                   ; SAMBORONDON;25.249;26.385;51.634
;; TARIFA;8.253;7.703;15.956
;; Total;33.502;34.088;67.590
;SANTA LUCIA                   ; SANTA LUCIA;20.276;18.647;38.923
;; Total;20.276;18.647;38.923
;SIMON BOLIVAR                 ; CRNEL.LORENZO DE GARAICOA;5.729;5.169;10.898
;; SIMON BOLIVAR;7.541;7.044;14.585
;; Total;13.270;12.213;25.483
;URBINA JADO                   ; EL SALITRE (LAS RAMAS);14.399;13.718;28.117
;; GENERAL VERNAZA;5.039;4.472;9.511
;; JUNQUILLAL;6.984;6.320;13.304
;; LA VICTORIA (ÑAUZA);3.406;3.064;6.470
;; Total;29.828;27.574;57.402
;YAGUACHI                      ; GRAL. PEDRO J. MONTERO;4.332;3.863;8.195
;; VIRGEN DE FATIMA;7.289;6.900;14.189
;; YAGUACHI NUEVO;13.429;13.188;26.617
;; YAGUACHI VIEJO (CONE);6.214;5.743;11.957
;; Total;31.264;29.694;60.958
;Total;;1.815.914;1.829.569;3.645.483
Imbabura;ANTONIO ANTE                  ; ATUNTAQUI;11.208;12.091;23.299
;; IMBAYA;652;627;1.279
;; SAN FRANCISCO DE NATABUE;2.719;2.932;5.651
;; SAN JOSE DE CHALTURA;1.503;1.644;3.147
;; SAN ROQUE;4.987;5.155;10.142
;; Total;21.069;22.449;43.518
;COTACACHI                     ; 6 DE JULIO DE CUELLAJE;936;844;1.780
;; APUELA;942;882;1.824
;; COTACACHI;8.398;8.741;17.139
;; GARCIA MORENO;2.675;2.385;5.060
;; IMANTAG;2.424;2.517;4.941
;; PEÑAHERRERA;850;794;1.644
;; PLAZA GUTIERREZ;260;236;496
;; QUIROGA;3.210;3.244;6.454
;; VACAS GALINDO (EL CHURO);395;303;698
;; Total;20.090;19.946;40.036
;IBARRA                        ; AMBUQUI;2.707;2.770;5.477
;; ANGOCHAGUA;1.510;1.753;3.263
;; CAROLINA;1.448;1.291;2.739
;; IBARRA;67.165;72.556;139.721
;; LA ESPERANZA;3.686;3.677;7.363
;; LITA;1.788;1.561;3.349
;; SALINAS;887;854;1.741
;; SAN ANTONIO;8.595;8.927;17.522
;; Total;87.786;93.389;181.175
;OTAVALO                       ; DR. MIGUEL EGAS CABEZAS;2.344;2.539;4.883
;; EUGENIO ESPEJO (CALPAQUI);3.499;3.858;7.357
;; GONZALEZ SUAREZ;2.753;2.877;5.630
;; OTAVALO;25.274;27.479;52.753
;; PATAQUI;128;141;269
;; SAN JOSE DE QUICHINCHE;4.142;4.334;8.476
;; SAN JUAN DE ILUMAN;4.186;4.398;8.584
;; SAN PABLO;4.701;5.200;9.901
;; SAN RAFAEL;2.561;2.860;5.421
;; SELVA ALEGRE;858;742;1.600
;; Total;50.446;54.428;104.874
;PIMAMPIRO                     ; CHUGA;577;503;1.080
;; MARIANO ACOSTA;756;788;1.544
;; PIMAMPIRO;4.459;4.618;9.077
;; SAN FRANCISCO DE SIGSIPA;656;613;1.269
;; Total;6.448;6.522;12.970
;SAN MIGUEL DE URCUQUI         ; CAHUASQUI;936;877;1.813
;; LA MERCED DE BUENOS AIRES;989;904;1.893
;; PABLO ARENAS;1.068;1.050;2.118
